gender,age,class,fratsoro,livewith,drinks5,drinkprob
2,21,4,2,0,1,13
2,18,1,2,0, , 
1,21,3,2,0, , 
2,22,3,1,0,3,16
2,19,1,2,0,1, 
2,22,3,1,0,1,16
2,21,3,1,1,1,13
2,26,5,2,0,1,12
2,22,3,2,0,1,13
2,20,3,2,0,1, 
1,19,1,2,0,1, 
2,19,1,2,0,3,13
1,20,3,2,0,2,23
2,20,3,1,0,1,12
1,21,3,2,0,2,14
2,26,5,2,0,1, 
2,18,1,2,0,2,29
2,20,3,2,0,1, 
1,19,2,2,0,2,14
2,20,3,1,0,2,18
2,20,2,1,0,1,15
2,21,4,2,0,5,18
2,22,4,2,0,1, 
2,20,3,2,0,1,4
2,24,3,2,0,1,12
2,18,1,1,0,3,16
1,22,3,2,0,2,13
2,26,4,2,0,1, 
2,20,3,1,1,2,14
2,20,2,1,0,1,13
2,20,3,2,0,2,12
1,26,3,2,0,1,14
2,20,2,2,0,1,13
2,20,3,2,0,2,12
2,22,5,2,0,1,12
2,20,3,2,0,1,12
2,23,5,2,0,1,12
2,23,5,2,0,3,14
2,24,4,2,0,1,21
2,26,3,2,0,1,12
2,21,4,2,0,2,15
1,20,2,1,1,3,15
2,18,1,1,0,4,20
1,20,3,2,0,1,13
1,19,2,2,0,1,12
1,18,1,2,0,1,12
2,20,3,2,0,1,15
2,21,3,1,1,2,13
1,22,3,2,0,1, 
2,19,2,2,0,3,15
1,23,5,2,0,3,14
2,19,2,2,0,3,16
2,19,3,2,0,1, 
2,19,2,2,0,1,14
2,18,1,2,0,1, 
1,21,4,2,0,1,15
2,21,4,2,0,1,19
2,20,2,2,0,1,14
1,25,5,2,0,3,22
2,26,5,2,0,1, 
1,24,4,2,0,1, 
2,21,3,2,0,1, 
1,21,4,2,0,4,28
1,18,1,2,0,4,16
2,26,4,2,0,1,12
1,19,2,2,0,2,22
2,26,3,2,0,1,12
2,22,4,2,0,1,12
1,19,2,2,0,1,12
1,20,2,2,0,5,27
1,26,3,1,0,1, 
2,24,5,1,0,1, 
2,21,4,2,0,1,12
2,19,1,2,0,1,12
2,20,3,2,0,4,21
1,18,2,2,0,3,13
2,21,3,2,0,1,14
1,26,3,2,0,1, 
1,20,3,2,0,5,16
1,19,2,2,0,5,21
2,23,4,2,0,1,12
1,18,1,2,0,4,19
2,21,4,2,0,1,12
1,21,3,2,0,1,13
2,23,2,2,0,1,13
1,19,2,2,0,1,12
1,19,2,2,0,1,15
1,19,1,2,0,1, 
2,22,4,2,0,1,13
2,22,5,2,0,1,19
2,23,4,2,0,1,12
2,20,3,2,0,3,15
2,23,5,2,0,1,12
1,26,3,2,0,1, 
2,19,2,1,0,5,25
2,23,2,2,0,1, 
2,20,3,2,0,1,12
1,23,4,2,0,4,24
2,18,1,2,0,1, 
1,23,5,2,0,5,25
2,22,5,2,0,1,12
1,18,1,2,0,1,14
2,18,1,2,0,1, 
2,21,3,2,0,1, 
2,22,5,2,0,1,12
2,19,1,2,0,4,18
2,19,1,2,0,3,18
2,21,2,2,0, ,23
1,26,5,2,0,2,12
2,19,2,1,1,1,14
2,23,4,2,0,1, 
1,21,4,1,1,1,13
2,18,1,2,0,1, 
2,20,1,2,0,1, 
2,21,3,2,0,1,12
1,23,5,1,0,4,17
2,21,4,2,0,1,12
1,20,1,2,0,2,17
2,26,4,2,0,1, 
2,20,3,2,0,1,12
2,21,3,1,0,5,20
1,23,3,2,0,3,15
1,22,5,2,0,1,12
1,24,3,2,0,6,33
2,21,4,2,0,1,12
1,22,4,2,0,1, 
2,21,4,2,0,1,12
1,21,3,2,0,1,17
2,22,2,2,0,4,20
1,19,1,2,0,1, 
1,26,5,2,0,1,12
2,19,2,1,0,1,12
1,19,2,2,0,2,14
2,21,3,2,0,1, 
1,26,3,2,0,1,14
1,19,1,2,0,1,12
1,21,3,2,0,2,12
2,18,1,2,0,1, 
2,20,2,1,0,1,14
2,21,4,2,0,1,12
1,21,4,2,0,1,12
1,22,5,2,0,1,15
2,22,5,2,0,1,13
2,19,2,2,0,1,14
2,23,2,2,0,1,12
1,23,4,2,0,1,12
2,26,5,2,0,1,14
1,21,3,2,0,4,27
2,18,1,2,0,1, 
2,26,4,2,0,1,12
1,21,3,2,0,3,13
2,21,3,2,0,5,32
1,21,3,2,0,2,12
2,18,1,2,0,1, 
1,21,3,2,0,1,12
2,24,5,2,0,3,13
2,23,5,1,0,2,14
2,19,1,2,0,1,16
1,19,2,2,0,3,24
2,20,3,2,0,1,14
2,21,4,2,0,1,13
1,19,2,2,0,3,12
2,22,5,2,0,1,15
2,20,3,2,0,2,21
2,20,2,1,0,4,18
1,21,4,2,0,1, 
2,23,3,2,0,2,17
2,26,3,2,0,1, 
2,20,3,2,0,4,14
2,21,3,2,0,1,15
2,21,4,2,0,1,16
2,18,1,2,0,1,12
2,26,2,2,0,1,11
2,26,4,2,0,1,11
2,20,3,2,0,1,12
1,21,4,2,0,4,20
2,26,5,2,0,1,12
2,20,3,1,1,3,15
2,20,2,2,0,1,14
1,26,2,2,0,1,12
2,21,3,2,0,1,12
2,26,4,1,0,1,12
1,23,5,2,0,4,22
2,19,2,2,0,1,12
2,26,3,2,0,1, 
2,26,4,2,0,2, 
2,25,4,2,0,1, 
2,20,2,2,0,3,16
2,25,2,2,0,2,13
2,20,3,2,0,1,13
2,19,1,2,0,1,14
2,21,4,2,0,1,12
1,22,4,1,0,4,17
1,21,3,2,0,4,19
1,24,4,2,0,1,12
1,21,3,2,0,1,15
2,18,1,2,0,3,16
1,26,3,2,0,1,12
2,19,3,2,0,1,15
2,22,4,2,0,1, 
1,18,1,2,0,4,21
1,23,4,1,0,6,19
1,19,1,1,0,2,12
1,22,5,2,0,1,19
2,21,3,2,0,1,13
1,26,4,2,0,1,12
2,20,3,1,0,1,12
2,20,3,2,0,4,19
1,20,3,2,0,1,13
1,22,4,1,1,3,15
2,22,3,2,0,1, 
2,20,2,2,0,1,14
2,22,4,2,0,4,19
2,19,2,2,0,1,17
2,19,2,2,0,1,12
2,21,3,2,0,2,14
2,20,2,2,0,1,12
2,18,1,2,0,2,14
2,20,3,1,1,1, 
2,22,4,2,0,1, 
1,22,3,2,0,1,13
1,21,4,2,0,1,12
2,19,2,1,0,2,13
2,19,3,2,0,1,12
2,19,2,2,0,1,12
2,19,1,2,0,4,23
2,18,1,1,0,4,15
2,21,4,2,0,1,12
1,24,1,2,0,1,12
2,19,1,2,0,2,15
1,21,3,2,0,5,16
2,20,2,1,1,2,16
1,20,3,2,0,4,15
1,20,3,2,0,6,15
2,20,3,1,1,3,18
2,17,1,2,0,4,16
2,23,3,2,0,1,13
2,21,3,2,0,1,12
2,26,5,2,0,1, 
2,24,3,2,0,3,19
1,21,4,2,0,3,18
1,21,1,2,0,1,12
1,20,2,2,0,6,20
1,22,5,2,0,1,12
1,22,5,2,0,3,18
1,21,4,1,1,3,12
2,20,2,2,0,3,21
2,18,1,2,0,1, 
1,20,3,2,0,1, 
2,21,3,2,0,1,12
2,21,4,2,0,1,12
1,18,1,2,0,3,15
2,18,1,2,0,1,12
1,22,3,2,0,3,15
1,22,3,2,0,1,12
2,20,3,2,0,1, 
1,20,3,1,1,1,21
1,19,2,1,0,1,13
2,23,5,2,0,1,13
2,20,3,2,0,1, 
2,19,1,2,0,1, 
2,22,4,1,1,3,15
2,20,3,2,0,1,12
2,20,2,2,0,1, 
2,22,4,2,0,1, 
1,22,4,2,0,1,12
2,21,4,2,0,1,12
2,22,4,2,0,1,15
2,26,5,2,0,4,22
2,18,1,2,0,1, 
2,21,2,2,0,1,12
1,24,3,2,0,1, 
1,19,1,2,0,1, 
1,26,3,2,0,2,14
2,18,1,2,0,1, 
2,22,5,2,0,1,27
1,21,3,2,0,1,12
1,22,4,2,0,4,12
1,19,2,2,0,1,12
2,20,2,2,0,1,12
1,18,1,2,0,3,15
1,25,4,2,0,1,12
2,23,3,2,0,1,12
2,18,1,2,0,2,14
1,18,1,2,0,1,12
1,18,1,1,0,1,15
2,21,3,2,0,1, 
2,18,1,2,0,1, 
2,20,2,2,0,1, 
2,20,3,2,0,1,14
2,22,3,2,0,3,22
1,20,2,2,0,2,13
1,18,1,2,0,3,24
2,22,4,2,0,1,13
1,26,4,2,0,1, 
2,18,1,1,0,3,15
2,19,1,2,0,1,18
2,26,4,2,0,1, 
1,22,3,2,0,1,12
2,21,3,2,0,1, 
2,22,5,2,0,1, 
1,22,4,2,0,4,17
2,21,4,2,0,4,19
2,20,2,2,0,1,12
1,18,1,2,0,1, 
2,19,1,2,0,1,19
2,21,3,2,0,1,13
1,19,2,2,0,1,12
2,18,1,1,0,1,12
2,21,3,2,0,2,13
2,21,4,1,1,2,22
2,25,4,2,0,3,13
2,18,1,2,0,4,20
1,18,1,2,0,6,26
1,22,3,1,0,5,15
2,18,1,2,0,2,12
2,20,2,2,0,1,13
2,20,2,2,0,1,12
1,26,2,2,0,1, 
1,21,4,2,0,1,15
1,23,5,1,0,3,18
2,18,1,2,0,1, 
1,22,3,2,0,4,19
1,18,1,2,0,1, 
2,20,4,2,0,4, 
1,20,2,2,0,4,16
2,18,1,2,0,1, 
2,21,4,1,0,2,15
2,20,3,2,0,1,12
2,18,1,2,0,1,13
2,19,2,2,0,1,12
1,26,5,2,0,1, 
2,19,2,2,0,1, 
1,24,4,2,0,1,12
1,19,2,1,1,4,20
2,22,4,2,0,2,18
2,21,4,2,0,1,12
1,21,3,2,0,1,12
2,21,4,2,0,1,12
2,21,3,2,0,1,12
2,26,4,2,0,1,12
2,19,1,1,0, ,17
2,22,2,2,0,5,27
2,22,4,2,0,1,14
2,26,4,2,0,1, 
1,21,4,2,0,2,15
1,23,3,2,0,1,12
1,20,3,2,0,3,13
2,21,4,1,0,1,36
2,18,1,2,0,4,17
2,18,1,2,0,4,14
1,20,1,2,0,1, 
1,26,4,2,0,3,16
2,19,1,2,0,1, 
2,19,2,2,0,1,16
1,20,3,2,0,1, 
2,20,2,1,0,5,25
1,18,1,2,0,5,21
1,19,2,2,0,4,17
1,19,2,2,0,1,12
2,19,1,2,0,1, 
2,18,1,2,0,2,14
1,18,1,2,0,1, 
1,20,1,1,0,1, 
2,21,3,2,0,1, 
1,18,1,2,0,1,12
1,20,3,2,0,2,20
1,23,5,2,0,6,14
2,23,5,2,0,1,13
2,21,4,2,0,1,14
1,19,2,2,0,1, 
1,21,2,2,0,1, 
1,23,4,2,0,1,16
2,19,1,2,0,1, 
2,22,4,2,0,4,18
2,19,2,2,0,3,20
1,19,1,2,0,2,16
2,26,3,2,0,1, 
1,19,2,2,0,1,12
1,21,4,2,0,1, 
2,21,3,2,0,1,12
2,19,1,2,0,1,14
1,22,5,2,0,2,16
2,18,1, ,0,3,14
1,22,4,2,0,1, 
2,18,1,2,0,1, 
1,22,3,2,0,4,15
1,22,5,1,0,3,12
1,21,2,2,0,2,19
2,20,3,2,0,1,12
2,23,4,2,0,1, 
2,19,2,2,0,1,18
1,23,4,2,0,1,18
2,19,1,2,0,1,12
1,22,3,2,0,1, 
2,18,1,2,0,1,16
1,19,1,2,0,1,12
2,19,2,2,0,1,12
2,18,1,2,0,1,12
2,26,3,2,0,1,12
1,25,5,1,0,1,14
2,21,4,2,0,1,12
2,18,1,2,0,1,17
2,22,1,2,0,1,12
2,21,4,2,0,1,13
1,23,2,2,0,1,12
2,18,1,2,0, , 
2,26,5,2,0,1,12
2,21,3,2,0,3,19
2,24,5,2,0,2,18
1,20,2,2,0,1,18
1,22,3,2,0,5,27
2,22,4,2,0,1,13
2,20,2,2,0,1,12
2,21,3,2,0,2,15
2,22,4,2,0,2,13
1,26,5,1,0,1,14
1,23,4,1,0,5,21
1,22,4,2,0,1,12
2,23,4,2,0,1,12
1,26,4,2,0,4,22
2,21,4,2,0,1,12
2,18,1,2,0,1,13
2,19,1,1,0,4,25
2,18,1,2,0,5,27
1,22,4,2,0,1,13
1,26,4,2,0,1,12
2,26,3,1,0,1,12
2,20,3,2,0,1,21
2,26,3,2,0,1,12
2,21,3,1,0,4,22
1,24,3,2,0,1, 
2,23,3,2,0,3,19
1,26,4,2,0,1, 
1,24,5,2,0,1,13
2,21,3,2,0,1,14
2,21,1,2,0,1,14
1,21,4,2,0,3,18
2,19,1,2,0,1, 
1,26,5,2,0,1, 
2,20,3,2,0,1,12
2,22,4,2,0,1,13
2,22,4,1,0,2,16
1,21,3,2,0,4,25
2,20,3,2,0,2,12
2,21,4,2,0,2,18
2,21,4,1,0,1,21
2,22,4,2,0,2,23
1,18,1,2,0,3,20
2,18,1,2,0,1,12
1,26,4,2,0,1, 
2,26,3,2,0,1,12
2,18,1,2,0,1,13
2,19,2,1,0,1,12
2,18,1,2,0, , 
2,19,1,2,0,1,15
2,20,2,2,0,1, 
2,20,2,2,0,2,25
2,26,3,2,0,1,12
1,19,1,2,0,1,13
1,26,4,2,0,1, 
2,18,1,2,0,6,36
1,20,3,2,0,1, 
2,21,4,2,0,1,12
2,24,5,1,0,1,17
1,20,3,2,0,2,15
1,23,4,2,0,1,13
1,18,1,2,0, ,12
2,26,4,2,0,1, 
1,22,4,2,0,2,14
2,21,4,2,0,1,12
1,22,4,1,0,2,13
1,21,4,2,0,1, 
1,20,3,1,0,3,13
1,26,5,2,0,1,12
1,24,5,2,0,2,21
2,19,2,2,0,2,12
1,21,4,2,0,3,15
2,18,1,2,0,1,12
2,21,3,2,0,4,16
2,26,5,2,0,1,12
2,21,3,2,0,1, 
1,26,4,2,0,4,17
2,20,2,2,0,1,13
1,21,3,1,0,2,15
1,19,1,2,0,5,25
2,22,5,2,0,1,12
2,21,3,2,0,1, 
2,21,4,2,0,1,12
2,18,1,2,0,1,24
2,21,3,2,0,2,13
2,18,1,2,0,4,26
1,23,5,2,0,2,12
2,20,2,2,0,1,14
2,21,4,1,0,2,12
2,26,3,2,0,1,13
1,19,2,2,0,1,12
2,21,4,2,0,2,14
2,23,3,2,0,2,18
1,19,2,2,0,3,14
1,23,4,2,0,1, 
2,19,1,2,0,4,19
1,26,3,2,0, , 
2,26,3,2,0,1, 
1,26,4,2,0,4,12
2,25,2,2,0,1,12
1,20,3,2,0,1, 
2,21,3,2,0,1,12
2,19,1,2,0,2,15
1,19,2,2,0,4,18
2,22,4,1,0,2,17
1,21,1,2,0,1,12
2,22,5,2,0,4,17
1,20,2,1,1,4,21
2,18,1,2,0,2,21
2,19,1,2,0,2,12
2,19,2,2,0,4,21
1,18,2,2,0,1,13
1,20,3,2,0,5,27
1,22, ,2,0,1, 
1,20,3,1,1,4,21
2,18,1,2,0,1,14
2,21,3,2,0,1,12
2,26,4,2,0,1,12
2,19,2,2,0,1,12
1,23,3,2,0, , 
1,26,4,2,0,1,12
1,21,4,2,0,3,18
1,22,4,2,0,1, 
2,20,3,2,0,1,12
2,26,3,2,0,1,12
2,26,5,2,0,1,13
2,20,2,2,0,1,15
2,25,3,2,0,1,12
2,19,1,2,0,1,12
1,22,3,2,0,1, 
2,22,5,2,0,1,15
2,26,4,2,0,1,13
2,20,3,1,0,4,20
2,20,3,2,0,1, 
2,20,3,2,0,2,12
 , , , , ,4,24
2,26,4,2,0,1,12
2,23,5,2,0,4,18
2,26,3,2,0,1,12
2,19,2,2,0,1, 
1,19,1,2,0,6,24
1,20,2,2,0,1,17
1,26,3,2,0,1,13
1,19,2,2,0,1, 
1,26,1,2,0,1,18
1,26,4,2,0,1, 
1,18,2,2,0,1, 
2,18,1,2,0,3,25
2,23,4,2,0,1, 
1,21,4,1,1,4, 
1,21,4,2,0,3,16
2,18,1,1,0,3,17
2,19,1,2,0,4,17
2,23,5,1,0,1, 
1,20,3,2,0,1, 
2,22,3,2,0,1, 
2,21,4,2,0,1,13
2,26,4,2,0,1,17
2,18,1,2,0,1, 
2,21,4,1,0,3,21
2,26,3,2,0,1,13
2,21,2,1,0,3,21
1,19,1,2,0,1,12
1,22,4,2,0,4,22
1,21,4,2,0,1,12
1,24,4,2,0,1, 
2,20,3,2,0,4,18
1,21,4,2,0,4,17
1,19,1,2,0,2,21
2,21,4,2,0,1, 
1,23,5,2,0,1,12
2,20,2,2,0,1, 
1,24,3,2,0,2,12
2,18,1,2,0,1,12
1,19,1,2,0,1,13
2,25,3,2,0,1,13
2,20,2,2,0,1, 
2,22,4,2,0,1,12
2,21,2,2,0,1,16
1,20,2,2,0,4,18
1,19,1,2,0,1,12
2,26,5,2,0,1,12
1,21,3,2,0,1, 
2,26,4,2,0,1, 
1,19,1,2,0,1,16
2,21,2,2,0,4,24
2,19,2,2,0,2,18
1,18,1,2,0,1, 
2,21,4,2,0,1,12
2,19,1,2,0, ,18
2,21,3,2,0,1,17
1,20,2,2,0,1,23
1,20,3,2,0,1,12
1,21,4,1,0,1,12
1,26,3,2,0,1,12
2,23,3,2,0,1, 
1,21,3,2,0,1,13
2,20,2,2,0,1,10
1,21,4,2,0,4,23
1,19,2,1,1,3,16
2,21,3,2,0,3,15
2,21,3,2,0,3,15
2,23,4,2,0,1,14
1,23,5,2,0,2,15
2,21,3,2,0,1,14
1,19,2,1,0,4,17
2,21,3,2,0,1, 
2,21,4,1,0,2,16
2,20,2,2,0,1,12
1,22,5,2,0,4,15
2,20,3,2,0,1,23
1,23,5,1,0,3,13
2,26,2,2,0,1,12
2,19,2,2,0,2,12
1,19,2,2,0,1,16
2,21,4,1,0,1,14
2,26,4,2,0,2,14
1,20,2,1,0,3,16
1,26,4,2,0,1, 
2,20,2,2,0,1, 
2,21,4,1,0,1,13
2,22,2,1,0,1,21
1,20,3,1,0,2,27
1,18,1,1,0,1,28
2,19,2,2,0,1,13
2,22,3,1,0,2,18
1,19,1,2,0,4,13
1,22,4,1,0,4,21
2,23,5,2,0,1,14
1,19,1,2,0,1,14
1,21,4,2,0,2,13
2,19,1,2,0,1,13
1,22,4,2,0,2,15
2,21,3,2,0,1,12
2,19,2,2,0,1,13
2,20,3,2,0,1, 
2,21,4,2,0,1,12
1,26,4,2,0,1,14
1,21,4,2,0,1,14
1,23,5,2,0,1,13
2,26,2,2,0,2,14
2,21,3,2,0,1, 
1,19,2,2,0,4,21
2,20,2,2,0,1,12
1,24,4,2,0,1,12
2,20,2,2,0,1,15
1,19,1,2,0,1,18
2,20,2,2,0,1,12
1,26,5,2,0,1,12
2,18,1,2,0,2,16
2,18,1,2,0,4,22
1,21,4,1,0,4,19
1,20,3,2,0,1,12
1,21,2,2,0,2,14
1,19,2,2,0,1,16
1,18,1,2,0,1, 
2,26,4,2,0,1, 
2,20,3,2,0,2,19
2,20,3,2,0,1,16
1,26,3,2,0,1,14
2,21,3,2,0,1,12
2,20,3,1,0,1, 
2,20,2,2,0,1, 
2,24,5,1,1,6, 
1,20,2,2,0,2,15
1,21,3,2,0,4,13
1,22,4,2,0,1,12
2,19,1,2,0,1,17
2,21,2,2,0,1,16
2,20,3,2,0,4,17
1,26,4,2, ,1,12
2,24,5,2,0,4,14
1,22,4,2,0,1, 
 , , , , ,1,12
2,21,4,2,0,3,20
2,21,2,2,0,1, 
1,25,3,1,0,2,13
 , , , , ,2,15
2,20,2,2,0,1, 
1,21,4,2,0,1, 
1,18,1,2,0,4,19
2,20,2,2,0,1,12
2,19,1,2,0,3,14
2,22,4,2,0,1,13
1,22,5,2,0,1,13
2,22,4,2,0,1,12
2,26,1,2,0,1,12
2,19,2,2,0,1, 
1,23,4,1, ,6,14
2,23, ,2,0,1,12
2,18,1,2,0,1,15
1,20,3,1,0,2,13
