gender,age,class,fratsoro,livewith,drinks5,drinkprob
2,19,2,2,0,4,17
2,19,2,2,0,1,13
2,23,2,2,0,3,19
2,18,1,2,0,1,13
2,22,4,2,0,1,12
1,20,1,2,0,1, 
2,18,1,2,0,3,16
2,20,3,2,0,1,12
2,21,4,2,0,6,24
1,22,3,2,0,4,16
2,18,1,1,0,2,16
2,20,3,2,0, ,14
2,21,4,2,0,5,16
1,19,2,2,0, ,14
1,26,5,2,0,1,12
2,20,3,2,0,1,12
1,19,1,2,0,1,12
 ,23,2,2,0,3,17
1,19,2,2,0, ,21
2,19,2,2,0,1,12
1,19,2,2,0,1, 
1,20,2,2,0,4,15
2,20,2,2,0,4,13
2,19,2,1,0,2,13
1,20,2,2,0,3,16
2, ,3,2,0,1,13
2,19,1,1,0,4,17
2,20,2,2,0,1,12
2,26,4,2,0,1,12
1,21,3,2,0,4,24
1,24,4,2,0,4,22
2,20,2,2,0,1, 
2,23,5,1,0,2,16
2,20,2,2,0,1,13
2,20,3,2,0,4,20
1,21,4,2,0,2,13
2,19,2,2,0,1,12
2,20,3,2,0,1,12
2,20,3,2,0,1,13
2,21,4,2,0,2,18
1,23,5,2,0,4,24
1,18,1,2,0, ,20
1,21,3,1,0,2,16
1,22,3,1,0,4,21
1,22,5,1,0,4,16
2,19,1,2,0,2,13
2,19,1,2,0,1, 
1,26,4,2,0,2,16
1,20,2,1,1,4,17
1,19,2,2,0,1,12
2,21,4,2,0,1,12
1,20,3,2,0,1, 
2,21,4,1,0,1,14
1,21,3,2, ,1,13
1,20,2,2,0,4,22
2,23,4,2,0,1,13
2,21,3,2,0,1, 
1,22,2,2,0,1, 
1,21,4,2,0,3,15
2,20,2,1,0,2,20
2,19,1,2,0,2,14
2,19,2,2,0,1,27
2,18,1,2,0,1, 
1,24,3,2,0,1,12
2,19,1,2,0,1,12
1,20,1,2,0,4,20
1,24,2,2,0,1,14
2,21,3,2,0,1,12
2,18,1,2,0,4,21
2,23,3,2,0,1, 
2,20,3,2,0,1,14
1,22,4,2,0,1, 
1,21,2,2,0,2,21
2,20,2,2,0,1, 
1,26,3,2,0,1,12
1,20,3,1,1,2,21
2,20,3,2,0,2,20
2,18,1,1,0,1,12
1,20,3,1,1,1,13
1,20,2,2,0,1, 
1,19,1,2,0,2,13
1,19,2,2,0,1,13
2,26,1,2,0,1,12
2,26,5,2,0,1,12
2,19,1,2,0,1,19
1,19,2,2,0,4,18
2,26,5,2,0,1,12
2,19,2,2,0,2,13
1,21,3,2,0,1,12
2,20,4,2,0,1,20
1,18,1,2,0,1, 
1,19,1,2,0,4,19
1,19,1,2,0,1,12
1,21,4,2,0,1, 
2,21,4,2,0,1,12
2,19,3,2,0,1,12
1,23,5,2,0,2,16
2,25,4,2,0,3,21
2,21,4,2,0,1,12
1,20,3,2,0,2,12
2,21,4,1,1,4,19
2,21,4,2,0,1, 
2,21,4,2,0,3,13
2,26,3,2,0,1, 
1,26,2,2,0,1, 
2,19,1,2,0,1, 
2,19,2,2,0,1, 
1,18,1,2,0,4,17
2,21,4,2,0,1,12
1,22,5,2,0,1, 
1,22,4,2,0,2,13
1,18,1,2,0,4,18
1,23,5,2,0,1,12
2,22,5,2,0,1,13
1,21,4,2,0,3,17
2,26,4,2,0,1,12
2,22,4,2,0,1,12
1,19,2,2,0,5,28
2,21,4,2,0,1,12
2,26,2,2,0,4,12
2,20,1,1,0,1,12
1,19,2,2,0,2,14
2,25,4,2,0,1,12
2,20,3,2,0,1,12
1,26,2,2,0,3,14
1,22,3,2,0,1,15
1,20,2,2,0,1,12
2,26,4,2,0,1,12
1,19,2,1,1,1,13
1,20,3,2,0,1,12
2,23,5,2,0,1, 
1,18,1,2,0,1, 
1,19,1,2,0,1, 
1,19,1,2,0,1,18
1,20,3,1,0,1, 
2,19,1,2,0,1, 
2,25,5,2,0,1,12
2,26,4,2,0,1,12
1,19,2,2,0,2,18
2,18,1,2,0,1,14
2,22,4,2,0,2,20
1,22,4,2,0,3,22
2,22,5,2,0,1,13
1,20,2,2,0,2,12
2,20,2,2,0,1,15
2,19,2,2,0,1,12
1,19,2,2,0,1,16
2,22,5,2,0,2,18
1,18,1,2,0,1,12
1,25,4,2,0, , 
2,26,2,2,0,1, 
1,18,1,2,0,4,15
2,19,1,2,0,1,12
2,19,2,2,0,2,14
2,18,1,1,0,1,10
2,20,2,1,0,1,21
2,26,5,2,0,1,15
2,20,2,1,1,3,19
1,26,4,2,0,1,13
1,21,4,2,0,5,22
1,21,4,2,0,4, 
1,21,3,1,0,4,13
2,20,2,2,0,1,12
1,20,3,2,0,1, 
2,21,4,1,1,4,15
1,18,1,2,0,3,23
1,21,3,2,0,1,12
1,26,3,2,0,1, 
1,21,4,2,0,5,28
2,18,1,1,0,4,21
1,20,2,2,0,1, 
1,22,5,2,0,1, 
2,23,5,2,0,4,22
1,21,4,2,0,3,14
2,19,1,2,0,2,17
1,20,3,2,0,1,12
1,26,3,2,0,1,13
1,22,3,2,0,4,23
1,22,4,2,0,1,12
2,22,4,2,0,4,18
1,24,4,2,0,1,12
2,22,1,2,0,2, 
2,23,3,2,0,1,15
2,19,1,2,0,1,14
2,20,3,2,0,1, 
2,21,4,2,0,1, 
2,18,1,2,0,1,12
1,20,3,2,0,5,16
1,18,1,1,0,3,24
1,22,5,1,0,3,20
2,22,4,2,0,1,14
1,26,5,2,0,3,15
2,22,3,2,0,2,15
2,19,2,1,0,1,13
1,18,1,2,0,1,12
1,20,1,2,0,2,13
2,26,4,2,0,1,12
2,20,2,2,0,1, 
2,18,1,1,1,2,12
1,22,5,2,0,3,18
2,23,3,2,0,1,12
1,23,5,2,0,3,16
1,23,4,2,0,1,12
2, ,1,2,0,1,12
1,22,4,2,0,1,12
2,26,3,2,0,1, 
1,22,4,2,0,6,18
1,19,2,2,0,4,19
2,20,2,1,0,2,12
1,24,4,2,0,2,12
2,22,4,1,0,4, 
2,21,4,2,0,1,12
2,20,3,2,0,3,16
2,21,3,2,0,1,12
1,20,3,2,0,1, 
1,18,1,2,0,4,30
2,18,1,2,0,1,17
1,20,2,2,0,2,12
1,20,3,2,0,4,12
1,21,4,2,0,6, 
2,19,1,2,0,1,12
2,18,1,2,0,1,13
1,21,4,2,0,1, 
2,26,2,2,0,1,12
2,19,2,2,0,1,13
1,19,1,2,0,6,14
1,26,5,2,0,1,18
1,24,5,2,0,2,14
2,22,4,1,0,1,14
2,18,1,2,0,1, 
2,21,3,2,0,1,13
1,21,3,2,0,1,12
2,19,1,2,0,2,12
1,20,2,2,0,1,27
2,24,4,2,0,1,12
1,23,5,2,0,2,14
1,26,5,2,0,1,12
2,21,4,1,0,2,20
1,21,2,1,0,5,29
2,19,2,2,0,2,17
2,20,2,2,0,4,12
2,19,2,2,0,1, 
2,19,2,2,0,1,12
2,25,1,2,0,4,17
1,22,4,2,0,3,19
2,20,3,2,0,2,13
1,18,1,2,0, , 
1,22,4,2,0,1,12
1,18,1,2,0,1,12
1,21,4,1,1,4,19
2,18,1,2,0,4,19
2,19,1,1,0,2,16
2,19,1,2,0,1,17
2,18,1,2,0,1,13
2,22,4,1,1,2,16
1,21,3,2,0,1,14
2,20,2, ,0,1,12
1,22,4,2,0,1,12
2,18,2,2,0,1,13
2,20,3,2,0,1, 
1,24,5,2,0,2,13
1,20,1,2,0,1, 
2,20,3,2,0,1, 
1,19,2,2,0,1,12
2,22,5,1,0,3,18
2,21,3,2,0,3,12
1,20,3,2,0,1, 
2,18,1,2,0,5,27
1,26,1,2,0,1,12
1,21,3,2,0,1,17
2,21,4,2,0,1,12
1,21,3,2,0,1,14
2,26,5,2,0,1, 
2,24,4,2,0,1, 
1,19,2,2,0,2,18
2,21,1,2,0,1,12
2,26,3,2,0,1,14
2,25,4,2,0,1,12
1,22,4,1,1,3,15
2,24,3,2,0,1, 
2,21,4,2,0,2,21
1,22,4,1,1,5,30
2,19,1,2,0,1,12
2,23,3,2,0,1,12
2,20,3,1,0,2,15
2,25,4,2,0,1,16
1,19,2,2,0,1,12
1,21,3,2,0,2,13
2,26, ,2,0,1, 
1,22,4,2,0,2,16
1,22,4,2,0,3,14
1,26,5,2,0,1, 
2,18,1,2,0,1,14
1,23,4,2,0,1,15
1,20,2,2,0,1, 
1,22,4,2,0,1,13
1,24,5,2,0,1,12
1,23,5,2,0,1, 
1,22,4,2,0,1,16
2,21,2,2,0,1,12
2,21,4,2,0,2,23
1,22,4,1,1,1,17
2,24,4,2,0,1, 
2,20,3,2,0,1,12
1,19,1,2,0,1, 
2,23,3,2,0,1, 
2,20,3,2,0,2,17
 ,22,4,2,0,3,16
1,21,4,2,0,1,12
1,20,2,2,0,3,17
2,21,4,2,0,1, 
2,19,2,2,0,1,13
1,22,2,2,0, , 
2,22,4,2,0,1,18
1,20,2,1,0,1,14
2,19,1,2,0,2, 
2,21,4,2,0,1, 
1,19,1,1,0,4,16
2,22,4,2,0,1,15
1,22,3,2,0,1,12
2,21,4,2,0,1,12
2,19,2,2,0,1,12
1,22,4,2,0,5,26
2,21,3,1,0,1,12
2,26,2,2,0,1,12
1,20,3,2,0,1,13
1,23,4,2,0,1,12
2,26,3,2,0,2,15
2,20,3,1,0,3,18
2,20,3,2,0,3,13
1,20,2,2,0,1,13
2,21,3,2,0,1,12
1,19,1,1,0,4,17
1,21,2,2,0,2,19
2,21,3,2,0,1,17
2,23,5,1,0,1,16
2,18,1,1,0,1,14
1,26,2,2,0,1, 
2,20,3,1,1,2,13
2,19,1,2,0,3,14
1,24,5,1,0,3,24
1,26,1,2,0,1,12
1,22,4,2,0,5,22
1,22,3,2,0,4,5
1,26,4,2,0,1,12
1,21,4,2,0,4,22
1,22,3,2,0,2,17
2,19,2,2,0,1,12
2,21,4,2,0,1,12
2,20,2,2,0,1,12
1,19,1,2,0,1,12
2,24,4,2,0,1,12
1,18,1,2,0,4,17
2,20,3,2,0,1, 
2,22,4,1,0,2,13
1,20,3,1,0,2,16
 , , , , ,1,12
2,18,1,2,0,1,13
2,22,4,1,0,5,17
1,26,4,2,0,2,12
2,25,2,2,0,1,14
1,18,1,2,0,1, 
1,22,4,2,0,2,12
2,21,3,2,0,1, 
2,26,3,2,0,1,12
2,21,3,2,0,1,14
2,23,4,2,0,1,13
2,22,3,2,0,2,13
2,26,1,2,0,1, 
2,18,1,2,0,2,13
2,20,3,2,0,1,13
1,22,5,1,0,1,12
1,21,4,2,0,2,14
1,20,1,2,0,3,19
1,26,2,2,0,1,14
2,19,1,1,0,3,24
2,18,1,2,0,1,12
1,20,4,2,0,1, 
1,21,4,1,0,5,15
2,24,3,2,0,1,15
2,18,1,2,0,1,12
1,18,1,2,0,1, 
2,21,4,1,0,3,22
2,22,4,2,0,1,12
1,26,4,2,0,1,14
1,25,3,2,0, ,14
2,18,1,1,0,1,16
1,18,1,2,0,1,13
2,22,4,2,0,1,12
2,26,4,2,0,1,13
2,26,5,2,0,1,12
2,18,1,2,0,4,18
2,23,3,2,0,2,14
1,20,2,2,0,1,17
2,22,4,2,0,1,12
2,18,1,2,0,1,14
1,26,5,2,0,1,13
2,18,1,2,0,1,12
1,21,4,2,0,4,25
1,20,2,2,0,2,20
2,19,1,2,0,5,26
1,19,1,1,0,5,21
1,26,4,2,0,1,12
1,20,3,2,0,1,12
1,26,2,2,0,6,30
2,23,2,2,0,2,13
1,20,3,2,0,5,33
2,21,2,2,0,1,16
2,19,1,2,0,4,22
1,21,4,2,0,1, 
1,18,1,2,0,1,18
2,19,1,2,0,4,18
2,21,3,2,0,1,15
2,19,1,2,0,1,12
2,22,4,2,0,1,12
1,20,2,2,0,4,18
2,25,2,2,0,1, 
2,22,5,2,0,1,14
2,19,2,2,0,1, 
1,21,3,1,0,1,19
2,19,2,2,0,1, 
2,23,4,2,0,1, 
2,26,5,2,0,1,12
2,26,4,2,0,1,12
2,21,3,2,0,2,13
2,19,1,2,0,1,12
1,26,4,2,0,5,26
2,18,1,1,0,1,12
1,18,1,2,0,2,26
1,23,5,2,0,1,12
2,24,4,2,0,1, 
2,18,1,1,0,1,12
1,26,4,1,0, , 
1,21,3,2,0,5,29
1,25,3,2,0,1, 
1,23,4,2,0,1,15
1,21,4,2,0,1, 
2,26,5,2,0,1,15
1,19,2,2,0,5,24
1,24,5,2,0,4, 
1,26,3,2,0,1,12
2,21,3,2,0,1, 
2,20,3,2,0,1,17
2,22,3,2,0,1,13
1,22,4,2,0,5,18
2,20,2,2,0,2,20
1,26,4,2,0,1,12
1,22,5,1,0,4,12
2,22,4,2,0,1, 
2,18,1,2,0,4,15
2,18,1,2,0,1, 
1,18,1,2,0,1, 
2,21,4,1,0,5,18
2,21,3,2,0,1, 
2,20,3,2,0,1,16
2,22,5,2,0,2,15
1,21,4,1,0,3,19
2,20,2,2,0,2,26
2,20,3,2,0,1,12
1,21,3,2,0,5,16
1,21,3,2,0,4,27
2,23,3,2,0,1,12
1,19,2,2,0,4,20
2,22,4,2,0,4,22
2,18,1,2,0,2,15
1,19,2,2,0,1, 
2,24,3,2,0,1,13
1,21,3,1,0,2,13
2,20,2,2,0,1,13
2,18,1,2,0,3,20
2,21,3,1,0,1,12
2,26,4,2,0,1,17
2,20,3,2,0,1,16
2,20,4,2,0,1,12
1,22,3,2,0,6,20
2,21,4,2,0,1,12
2,20,3,2,0,1,12
2,19,3,1,1,1,15
2,18,1,2,0,1, 
2,18,1,2,0,1, 
1,23,2,2,0,2,16
2,24,4,2,0,1,12
2,25,4,2,0,2,16
1,19,2,1,1,5,18
2,20,2,1,0,3,14
2,23,5,1,0,1, 
2,22,5,2,0,2,14
1,20,3,2,0,1, 
1,21,3,2,0,4,17
1,21,3,2,0,1, 
2,20,2,2,0,1,14
2,20,2,2,0,2,15
2,18,1,2,0,1,14
2,26,4,2,0,1, 
2,26,5,2,0,1, 
2,19,2,2,0,1,13
2,23,5,2,0,1,12
1,25,4,1,0,4,14
2,18,1,2,0,1,12
2,18,1,2,0,1, 
2,26,4,2,0,1, 
2,26,5,2,0,2,15
2,26,3,2,0,1,14
1,18,1,2,0,2,18
1,23,5,2,0,1,12
1,20,3,1,1,3,25
1,21,3,2,0,1,13
2,19,2,2,0,1, 
1,22,3,2,0,5,25
1,21,3,2,0,2,22
1,26,3,2,0,1,12
1,19,2,2,0,1, 
2,18,1,2,0,1,17
1,18,1,2,0,1,14
1,19,2,2,0,4,16
2,20,3,2,0,1,12
2,22,5,2,0,1,13
1,22,5,2,0,2,17
2,25,4,2,0,1,12
1,19,2,1,0,1,19
2,22,4,2,0,1,14
2,18,1,2,0,1,12
1,18,1,2,0,4,14
1,20,3,2,0,1, 
2,19,3,2,0,1, 
2,26,5,1,0,1, 
1,22,4,2,0,1,12
1,18,1,2,0,2,19
2,23,4,1,0,3,19
1,22,1,2,0,3,16
2,22,4,2,0,4,21
2,26,4,2,0,4,14
2,19,2,2,0,1,12
2,19,1,2,0,1, 
2,20,3,2,0,2,13
2,21,3,2,0,1, 
1,26,4,2,0,1,12
2,26,4,2,0,2,15
2,18,1,2,0,5,16
1,18,1,2,0,3,13
2,21,3,2,0, ,13
1,23,4,2,0,1, 
1,19,2,2,0,1,13
2,20,1,2,0,1,14
2,19,2,1,1, ,20
1,20,2,2,0,1,15
2,21,4,1,1,3,15
2,19,1,2,0,1,12
1,19,1,2,0,1,12
1,26,5,2,0,5,19
1,20,3,2,0,1,21
1,25,3,2,0,1,12
2,18,1,2,0,3,14
2,19,2,2,0,3,18
2,22,3,2,0,1,12
1,21,4,2,0,4,19
1,22,3,2,0,1,13
2,26,3,2,0,1,12
2,20,2,1,0,5,29
1,18,4,2,0,2,16
2,19,2,2,0,1, 
1,19,1,2,0,2,12
1,22,4,1,1,4,21
2,19,1,2,0,1,13
1,19,2,2,0,1,12
1,19,2,2,0,6,20
1,19,2,2,0,2,13
1,20,1,2,0,1,12
2,18,1,2,0,4,22
2,18,1,2,0,1,12
2,21,2,2,0,1,12
1,20,3,1,0,3,16
2,19,1,1,0,1, 
1,21,4,1,1,4,22
1,20,2,1,0,1, 
2,21,4, ,0,3,15
2,21,3,2,0,2,14
2,20,2,2,0,1, 
1,19,2,2,0,1,12
1,19,2,2,0,1, 
2,25,4,2, ,1, 
2,21,3,1,1,4,15
2,21,2,2,0,1,12
2,21,3,2,0,1,12
1,23,5,1,1,4,17
1,18,1,2,0,1,12
1,20,2,1,1,4,16
1,22,5,2,0,2,13
2,26,5,2,0,1, 
2,18,1,1,0,1,12
1,21,4,1,0,2,19
2,26,5,2,0,1,12
1,21,4,1,0,4,22
2,19,2,2,0,1, 
2,20,2,2,0,1, 
2,19,3,2,0,2,18
2,18,1,2,0,1, 
2,26,3,2,0,1,12
1,19,2,2,0,1,22
1,23,4,2,0,3,14
1,24,5,1,0,2,13
2,21,3,2,0,1,12
1,18,1,2,0,1, 
1,19,1,2,0,1, 
1,20,2,2,0,1,14
1,23,5,1,0,5,34
1,24,4,2,0,1,12
2,21,4,2,0,3,16
1,20,2,2,0,1,12
2,19,2,2,0,4,12
1,22,3,1,0,6,29
2,22,4,2,0,3,16
2,26,4,2,0,1,12
2,22,4,2,0,1,12
2,21,3,2,0,1,14
2,22,5,1,0,4,16
1,26,4,2,0,3,15
1,20,2,2,0,1,15
1,20,3,2,0,2,27
2,18,1,2,0,1, 
1,21,4,1,0,2,16
2,20,2,2,0,1,12
1,20,3,1,1,3,24
2,19,2,2,0,1, 
1,21,3,2,0,4,18
1,18,1,2,0,1, 
2,21,1, ,0,1, 
1,21,3,2,0,6,19
2,19,2,2,0,4,23
2,18,1,1,0,4,21
1,25,5,2,0,2,13
2,21,4,2,0,4,20
1,26,3,2,0,3,14
1,26,4,2,0,1, 
1,21,3,2,0,2,14
2,21,3,1,0,1, 
1,20,2,2,0,3,22
2,26,4,2,0,1, 
2,19,1,2,0,1,12
2,18,1,1,0,1, 
1,22,5,1,0,4,24
2,25,5,2,0,1,12
2,21,3,2,0,2,15
2,18,1,2,0,1,12
1,22,3,2,0,1,12
2,18,1,2,0,4,18
1,20,3,2,0,1,12
2,23,5,2,0,1,14
1,20,2,2,0,3,17
2,21,4,1,1,2,14
1,25,4,2,0,3,14
1,20,2,2,0,3,20
1,26,2,2,0,1,12
1,26,5,2,0,1,12
2,19,1,2,0,1,12
2,24,4,2,0,1, 
1,20,2,2,0,3,20
1,21,4,2,0,1,13
2,23,4,2,0,1, 
2,22,3,2,0, ,23
2,18,1,2,0,1, 
2,26,4,2,0,1, 
2,20,4,2,0,1, 
1,20,1,2,0,1, 
2,26,5,2,0,4,19
2,21,4,2,0,4,21
1,21,4,2,0,1,12
2,21,3,2,0,1,12
2,21,3,1,1,1,14
2,20,2,2,0,1, 
2,20,4,2,0,2,13
1,23,5,2,0,1, 
2,21,4,2,0,1, 
2,22,5,1,0,5,18
1,24,4,2,0,1, 
2,21,3,2,0,4,18
2,20,3,2,0,1,13
1,19,2,2,0,1,13
2,19,2,1,1,2,16
1,18,1,2,0,3,17
1,22,4,2,0,1, 
2,21,3,2,0,1,12
1,19,1,2,0,1,15
2,22,5,2,0,1,12
2,18,1,2,0,3,13
2,20,2,2,0,5,27
1,21,4,2,0,3,12
2,19,2,2,0,1,14
2,21,3,2,0,3,21
2,21,4,2,0, , 
1,26,3,2,0,2,20
2,22,5,2,0,2,13
1,21,4,2,0,3,20
2,19,2,2,0,1,20
1,21,1,2,0,5,15
2,24,3,2,0,2,15
2,19,1,2,0,1,12
1,19,1,2,0,1, 
2,18,1,2,0,1, 
2,21,4,2,0,2,12
1,18,1,2,0,3,20
1,21,4,2,0,1, 
